objectid,filename,thumb,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,rightsstatement,publisher,datacontributor,genre,relation
907,https://elizajames.github.io/WLCB_draft/objects/f54f802c300ba3ba0da87439714741d9.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f54f802c300ba3ba0da87439714741d9_th.jpg,,,Leonard Bradley and the Wolves,"Cloud, Virginia Woodward ",1896-01-25; 1896-06-10,,,,,,American Periodical Series,VL571,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Outlook; Christian Observer,JLC,Fiction,
426,https://elizajames.github.io/WLCB_draft/objects/f4b14824ab17b5754d193d9760a84b60.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f4b14824ab17b5754d193d9760a84b60_th.jpg,,,"Letter D, The",Litchfield Grace Denio,1904,"Full-text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=nyp.33433076074644;view=1up;seq=7"" target=""_blank"" rel=""noreferrer"">https://babel.hathitrust.org/cgi/pt?id=nyp.33433076074644;view=1up;seq=7</a> From: ",,,,,WorldCat,VL271,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"New York : Dodd, Mead and Co.",Ellen Roussel,Fiction,
309,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Jack and his island,"Thruston, Lucy Meacham",,,,,,,,VL152,Text,image/jpeg,http://rightsstatements.org/vocab/CNE/1.0/,,Megan Hultberg,Fiction,
2551,https://elizajames.github.io/WLCB_draft/objects/f36ff60dd213ba23e0da14d14d706afa.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f36ff60dd213ba23e0da14d14d706afa_th.jpg,,,Fried Chicken,"Dorsey, Marian V. (Mary Dorsey)",1909,From: p. 175,,,,,HathiTrust,VL932,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,"Good Housekeeping Everyday Cookbook, ed. Isabel Gordon Curtis ",Marina Fazio,Recipe,
442,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Care,Virginia Woodward Cloud,1900,,,,,,Complementary Index,VL282,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,In American Anthology. Houghton Mifflin & Company,Tara Brooky,Poetry,"Also published in Century, Oct. 1898, p. 858"
2527,https://elizajames.github.io/WLCB_draft/objects/f28649b93e3dea92e6444e226411def6.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f28649b93e3dea92e6444e226411def6_th.jpg,,,Decorations of a Boy's Room,"Dorsey, Marian V. (Mary Dorsey)",1902-02-18,,,,,,Chronicling America,VL910,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,The Washington Herald,Marina Fazio,Article,
422,https://elizajames.github.io/WLCB_draft/objects/f22df9d53ede9238549be2c3e2270f97.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f22df9d53ede9238549be2c3e2270f97_th.jpg,,,Collected Poems,Litchfield Grace Denio,1913,"Full text available at <a href=""https://archive.org/details/collectedpoems00litc"" target=""_blank"" rel=""noreferrer"">https://archive.org/details/collectedpoems00litc</a> From: ",,,,,WorldCat,VL267,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"New York, London, G.P. Putnam's Sons",Ellen Roussel,Poetry,
487,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Minor Logic,"Franklin, Christine Ladd",1904-09-01,,,,,,JSTOR,VL327,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"Journal of Philosophy, Psychology and Scientific Methods",Sydney Johnson,Article,
1539,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,From King Leopold's Window,"Woods, Katherine Pearson",1902-06,,,,,,Harpers.org,VL633,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Harper's Monthly,Jean Lee Cole,Fiction,
2020,https://elizajames.github.io/WLCB_draft/objects/f14edf1ca10623e10919a63cd9b0555a.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f14edf1ca10623e10919a63cd9b0555a_th.jpg,,,Facts About Mistake In Marking Original Burial Place of Poe,"Evans, May Garrettson",1920-08-01,,,,,,Proquest Historical Newspapers,VL820,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Sun,Sydney Johnson,Journalism,
1940,https://elizajames.github.io/WLCB_draft/objects/f1473d8dc240e50dd64256f25481677d.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f1473d8dc240e50dd64256f25481677d_th.jpg,,,"Woman's literary club thirty years old this week, will give lunch",Lantz Emily Emerson,1920-04-04,,,,,,ProQuest,VL744,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Sun,,Journalism,
1861,https://elizajames.github.io/WLCB_draft/objects/f1237418408e141c2a6fd4d3496d4228.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f1237418408e141c2a6fd4d3496d4228_th.jpg,,,How Wallace Got Even,"Smith, Harriet Lummis",1909-04-28,,,,,,American Periodicals Series,VL668,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Christian Observer,Jean Lee Cole,Fiction,
959,https://elizajames.github.io/WLCB_draft/objects/f10007258d1890950a2509c668ac03da.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/f10007258d1890950a2509c668ac03da_th.jpg,,,Penelope's Christmas Dance,"Cloud, Virginia Woodward",1898-01,"Reprinted under the title ""The Ballad of Sweet P."" in <em>Poems of American History, </em>ed. Burton Egbert Stevenson (Boston: Houghton Mifflin), in 1908 (transcribed text available at <a href=""https://www.gutenberg.org/files/47476/47476-h/47476-h.htm#Page_186"" target=""_blank"" rel=""noreferrer"">https://www.gutenberg.org/files/47476/47476-h/47476-h.htm#Page_186</a>, pp 186-187).",,,,,Google Books,VL623,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Ladies Home Journal,Jean Lee Cole,,
834,https://elizajames.github.io/WLCB_draft/objects/f0e34464242333314474d101907de79f.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f0e34464242333314474d101907de79f_th.jpg,,,"Fourth Gentleman, The","Duvall, Ellen",1901-07,,,,,,UNZ.org,VL503,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Harpers Monthly,Katie Kazmierski,Fiction,
227,https://elizajames.github.io/WLCB_draft/objects/f0b574b03b01ba46c74e9d2b1fc7fdf6.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/f0b574b03b01ba46c74e9d2b1fc7fdf6_th.jpg,,,Two Negatives,Mary Spear Tiernan,1889-02,,,,,,American Periodicals Series: ProQuest,VL75,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Century Illustrated Magazine,Marina Fazio,Fiction,
397,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,"Archbishop Darboy, the Martyr of La Roquette",Latimer Elizabeth Wormeley,1893-03,"From: Vol. 56, p755-760",,,,,Readers' Guide Retrospective: 1890-1982 (H.W. Wilson),VL242,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Catholic World,Ellen Roussel,Essay,
409,https://elizajames.github.io/WLCB_draft/objects/eff4c56c3e9a7eefb56153eb1403efdd.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/eff4c56c3e9a7eefb56153eb1403efdd_th.jpg,,,"Song of the Sirens, The ",Litchfield Grace Denio,1917,"Full-text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=nyp.33433066637822;view=1up;seq=7"">https://babel.hathitrust.org/cgi/pt?id=nyp.33433066637822;view=1up;seq=7</a> From: ",,,,,WorldCat,VL254,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,"New York, London, G.P. Putnam's Sons",Ellen Roussel,Poetry,
669,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Time's Changes,Harriet Lummis Smith,1910-05-30,,,,,,Chronicling America,VL344,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,New-York Tribune,Jonathan Flink,Fiction,
962,https://elizajames.github.io/WLCB_draft/objects/ef87bb293eff44b777d4a260d12c6fdf.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ef87bb293eff44b777d4a260d12c6fdf_th.jpg,,,"Drive Out from Beautiful Naples to Dead Cities and Lakes of Fire, A","Wrenshall, Letitia Yonge (Mrs. John C.)",1908-05-03,,,,,,Newspapers.com,VL626,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Baltimore Sun,Jean Lee Cole,Essay,
2543,https://elizajames.github.io/WLCB_draft/objects/ef6d14ec953cf793219489b2737c545a.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ef6d14ec953cf793219489b2737c545a_th.jpg,,,Mythology in the Public Schools,"Dorsey, Marian V. (Mary Dorsey)",1895-07-18,,,,,,JSTOR,VL924,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,"Journal of Education vol. 42 no. 4 (New England Publishing Company, 1895)",Marina Fazio,Essay,
330,https://elizajames.github.io/WLCB_draft/objects/wlcb_logo.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/wlcb_logo_th.jpg,,,Matilda's Address Book,Margaret Sutton Hopkins (formerly Margaret Sutton Briscoe),1899-07,,,,,,Reader's Guide,VL171,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Harpers New Monthly Magazine,Monica Malouf,Fiction,
327,https://elizajames.github.io/WLCB_draft/objects/ef29987c806a8d038af2e5acdbc9286d.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/ef29987c806a8d038af2e5acdbc9286d_th.jpg,,,"Change of Heart: Six Lovely Stories,  The",Margaret Sutton Briscoe,1903,"Full text available at <a href=""https://babel.hathitrust.org/cgi/pt?id=osu.32435076151901"">https://babel.hathitrust.org/cgi/pt?id=osu.32435076151901</a> From: ",,,,,WorldCat (HathiTrust Link),VL168,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,New York: Harper & Bros.,Monica Malouf,Fiction,
213,https://elizajames.github.io/WLCB_draft/objects/eef2526f0fc784aa3806688e7e685479.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/eef2526f0fc784aa3806688e7e685479_th.jpg,,,Women's Heroes,"Duvall, Ellen",1902-12,"Full text available at <a href=""https://books.google.com/books?id=WDkwAQAAMAAJ&amp;pg=PR4&amp;dq=women%27s+heroes+ellen+duvall&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwix3Lqr4ofZAhWBq1kKHS0TCPQQ6AEITDAH#v=onepage&amp;q=women's%20heroes&amp;f=false"" target=""_blank"" rel=""noreferrer"">https://books.google.com/books?id=WDkwAQAAMAAJ&amp;pg=PR4&amp;dq=women%27s+heroes+ellen+duvall&amp;hl=en&amp;sa=X&amp;ved=0ahUKEwix3Lqr4ofZAhWBq1kKHS0TCPQQ6AEITDAH#v=onepage&amp;q=women's%20heroes&amp;f=false</a> From: ",,,,,Google Books,VL61,Text,image/png,http://rightsstatements.org/vocab/NoC-US/1.0/,Atlantic Monthly,Katie Kazmierski,Essay,
288,https://elizajames.github.io/WLCB_draft/objects/ede33449b2c6e7ea8098b00b15ac6d1a.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/ede33449b2c6e7ea8098b00b15ac6d1a_th.jpg,,,"Symphony in Dreamland, A",Lord Sauerwein Emma Alice,1882,"Full text available at <a href=""https://books-google-com.proxy-ln.researchport.umd.edu/books?id=SNMtAAAAMAAJ&amp;hl=en"" target=""_blank"" rel=""noreferrer"">https://books-google-com.proxy-ln.researchport.umd.edu/books?id=SNMtAAAAMAAJ&amp;hl=en</a> From: ",,,,,Worldcat,VL132,Text,image/png,http://rightsstatements.org/vocab/NoC-US/1.0/,New York; G.P. Putnam's Sons,Kate Kutch,Poetry,
2193,https://elizajames.github.io/WLCB_draft/objects/ed96fe471dc323e6d5b71d3f28f1111d.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/ed96fe471dc323e6d5b71d3f28f1111d_th.jpg,,,Sympathy,"Litchfield, Grace Denio",1887-01-27,"From: Grace Denio Litchfield Papers, MS 941 Box 1, scrapbooks",,,,,JHU Special Collections,VL863,Text,image/jpeg,http://rightsstatements.org/vocab/NoC-US/1.0/,Independent,Jean Lee Cole,Poetry,
1867,https://elizajames.github.io/WLCB_draft/objects/ed717b0200fe493df925d84cc2401649.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ed717b0200fe493df925d84cc2401649_th.jpg,,,Old Joe's Apostasy,"Smith, Harriet Lummis",1909-10-20,,,,,,American Periodicals Series,VL674,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Zion's Herald,Jean Lee Cole,Fiction,
239,https://elizajames.github.io/WLCB_draft/objects/ed2d470fe07aba1551d696da134b5b62.jpg,https://elizajames.github.io/WLCB_draft/objects/thumbs/ed2d470fe07aba1551d696da134b5b62_th.jpg,,,Series of Paintings,Louise Clarkson Whitelock,,"Images available at <a href=""https://commons.wikimedia.org/w/index.php?search=louise+clarkson+whitelock&amp;title=Special:Search&amp;go=Go&amp;searchToken=93m1a6c6f8qox1uhkpteoz4x9"">https://commons.wikimedia.org/w/index.php?search=louise+clarkson+whitelock&amp;title=Special:Search&amp;go=Go&amp;searchToken=93m1a6c6f8qox1uhkpteoz4x9</a> From: ",,,,,Wikimedia,VL87,Text,image/jpeg,http://rightsstatements.org/vocab/CNE/1.0/,Boston Public Library,Clara Love,Photo,
1540,https://elizajames.github.io/WLCB_draft/objects/ed2cd52ccf9e2b82676ff66300fce7a6.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ed2cd52ccf9e2b82676ff66300fce7a6_th.jpg,,,Song of Sunset A,"Woods, Katherine Pearson",1904-04,"From: Vol. 108.5, p774",,,,,Harpers.org,VL634,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Harper's Monthly,Jean Lee Cole,Poetry,
2192,https://elizajames.github.io/WLCB_draft/objects/ece6f6f878f1c9d3a5994ae0b1a57e1d.pdf,https://elizajames.github.io/WLCB_draft/objects/thumbs/ece6f6f878f1c9d3a5994ae0b1a57e1d_th.jpg,,,"Tick, Tack","Litchfield, Grace Denio",1886-12-02,"From: Grace Denio Litchfield Papers, MS 941 Box 1, scrapbooks",,,,,JHU Special Collections,VL862,Text,application/pdf,http://rightsstatements.org/vocab/NoC-US/1.0/,Independent,Jean Lee Cole,Fiction,
